original_language,runtime,popularity,vote_average,Num_genres,Num_keywords,Num_production_companies,Num_production_countries,Num_spoken_languages,Num_overview_words,Num_tagline_words,Num_Departments,Num_Cast,Num_Crew,Year,Month,Day,Is_profitable
4,169.0,139.082615,6.9,3,16,3,1,1,34,9,9,34,32,2007,5,19,1
4,148.0,107.376788,6.3,3,7,3,2,5,41,5,11,83,155,2015,10,26,1
4,165.0,112.31295,7.6,4,21,4,1,1,65,3,11,158,217,2012,7,16,1
4,132.0,43.926995,6.1,3,16,1,1,1,55,7,11,27,132,2012,3,7,1
4,139.0,115.699814,5.9,3,16,3,1,2,45,3,9,143,56,2007,5,1,1
4,100.0,48.681969,7.4,2,15,2,1,1,84,6,9,13,79,2010,11,24,1
4,141.0,134.279229,7.3,3,9,3,1,1,69,5,10,72,74,2015,4,22,1
4,153.0,98.885637,7.4,3,8,2,2,1,30,3,8,49,27,2009,7,7,1
4,151.0,155.790452,5.7,3,9,6,1,1,60,3,11,152,111,2016,3,23,1
4,154.0,57.925623,5.4,4,10,4,1,3,55,0,7,18,24,2006,6,28,1
4,106.0,107.928811,6.1,4,4,1,2,5,60,8,8,32,17,2008,10,30,1
4,151.0,145.847379,7.0,3,14,3,4,4,23,3,9,33,23,2006,6,20,1
4,149.0,49.046956,5.9,3,13,6,1,1,68,5,10,60,35,2013,7,3,0
4,143.0,99.398009,6.5,4,9,5,2,1,60,8,10,33,48,2013,6,12,1
4,150.0,53.978602,6.3,3,12,7,4,1,75,5,11,21,83,2008,5,15,1
4,136.0,135.413856,6.4,3,16,3,1,2,75,5,10,35,39,2011,5,14,1
4,106.0,52.035179,6.2,3,6,5,1,1,111,6,10,18,21,2012,5,23,1
4,144.0,120.965743,7.1,3,11,5,2,1,74,8,11,42,127,2014,12,10,1
4,136.0,89.866276,6.5,3,12,3,1,1,117,4,11,57,106,2012,6,27,1
4,140.0,37.668301,6.2,2,8,4,2,2,44,8,8,34,18,2010,5,12,1
4,161.0,94.370564,7.6,2,7,4,2,1,32,12,11,32,108,2013,12,11,1
4,113.0,42.990906,5.8,2,9,4,2,4,34,12,11,29,32,2007,12,4,1
4,187.0,61.22601,6.6,3,10,4,3,1,37,6,10,33,38,2005,12,14,1
4,194.0,100.025899,7.5,3,19,3,1,6,116,7,11,136,65,1997,11,18,1
4,147.0,198.372395,7.1,3,11,5,1,4,47,3,11,100,119,2016,4,27,1
4,131.0,64.928382,5.5,4,26,4,1,2,93,7,11,46,122,2012,4,11,1
4,143.0,93.004993,6.9,3,12,1,2,1,92,4,9,24,30,2012,10,25,1
4,127.0,35.149586,6.7,3,11,3,1,3,58,7,11,76,128,2004,6,25,1
4,130.0,77.68208,6.8,3,16,1,2,1,22,6,11,107,29,2013,4,18,1
4,108.0,78.530105,6.4,3,7,5,1,1,104,7,10,35,24,2010,3,3,1
4,104.0,3.857526,6.3,4,7,11,3,1,28,3,10,32,39,2006,5,24,1
4,104.0,89.186492,7.0,2,8,2,1,1,24,5,5,24,13,2013,6,20,1
4,150.0,21.939663,6.0,3,10,7,1,2,32,3,10,37,55,2009,6,19,1
4,165.0,116.840296,5.8,3,7,8,1,1,69,6,11,41,86,2014,6,25,1
4,130.0,46.985445,5.7,3,9,2,1,1,36,7,10,159,31,2013,3,7,1
4,142.0,89.270217,6.5,3,8,4,1,1,84,3,11,65,102,2014,4,16,1
4,125.0,73.79505,6.3,3,10,6,1,1,42,4,8,23,27,2010,12,10,1
4,106.0,49.98659,5.8,4,6,2,1,4,41,1,9,47,40,2011,6,11,1
4,114.0,51.872839,5.1,4,10,3,1,1,64,8,9,23,47,2011,6,16,1
4,103.0,59.995418,7.6,3,13,2,1,2,45,5,9,45,38,2010,6,16,1
4,115.0,71.862892,5.9,3,13,4,4,2,52,3,9,15,55,2009,5,20,1
4,137.0,102.322217,7.3,1,7,10,2,1,14,3,11,52,98,2015,4,1,1
4,116.0,81.834855,6.7,5,6,7,2,1,72,2,10,22,31,2013,6,20,1
4,131.0,118.078691,7.5,4,10,7,2,1,39,9,10,65,86,2014,5,15,1
4,132.0,78.291018,7.4,3,10,4,1,1,100,3,10,98,107,2013,5,5,1
4,114.0,43.349855,5.5,3,2,6,1,1,96,5,9,23,43,2013,2,27,1
4,143.0,61.196071,7.3,2,5,6,2,1,44,19,6,31,18,2013,5,10,1
4,116.0,62.169881,6.2,4,6,2,1,1,46,3,9,13,46,2010,5,19,1
4,131.0,56.523205,6.7,3,7,4,2,1,131,6,10,43,27,2013,7,11,1
4,154.0,28.529607,6.1,3,12,4,1,1,51,10,9,39,29,2011,6,28,1
4,122.0,75.674458,5.7,2,16,2,1,3,74,3,8,38,14,2008,5,21,1
4,93.0,51.692953,6.6,3,9,2,1,1,18,5,4,19,11,2015,11,14,1
4,93.0,125.114374,6.7,6,17,2,1,1,98,3,8,15,44,2012,6,21,1
4,122.0,65.352913,6.6,3,4,7,1,1,30,0,11,33,108,2016,7,7,1
4,98.0,66.390712,7.8,2,1,3,1,1,71,5,11,29,52,2008,6,22,1
4,91.0,22.57178,6.1,4,1,1,1,5,62,4,9,18,18,2007,8,8,1
4,158.0,45.274225,5.6,3,11,4,2,9,109,3,10,52,115,2009,10,10,1
4,96.0,39.744242,6.6,2,11,2,1,1,66,2,6,18,9,2009,11,4,1
4,124.0,85.36908,5.2,4,5,4,1,1,30,3,11,66,103,2015,2,4,1
4,109.0,42.741719,5.5,2,5,7,3,1,25,2,7,34,12,2016,6,29,1
4,143.0,67.391328,6.7,3,14,2,2,2,65,7,10,24,29,2005,12,7,1
4,144.0,139.272042,6.4,1,11,6,1,1,20,5,11,95,96,2016,5,18,1
4,96.0,92.201962,7.7,4,7,1,1,1,49,0,10,16,91,2009,5,13,1
4,94.0,36.167578,6.0,4,3,1,1,1,54,6,5,28,11,2009,3,19,1
4,126.0,120.725053,7.4,3,12,1,1,4,22,5,8,87,21,2008,4,30,1
4,126.0,32.319043,7.0,3,15,3,3,1,129,15,11,28,77,2011,11,22,1
4,106.0,40.748915,5.1,5,4,4,1,1,41,5,7,29,12,1999,6,29,1
4,112.0,60.034162,5.2,3,0,5,2,3,51,4,7,15,17,2008,7,1,1
4,123.0,90.23792,5.9,5,8,5,1,1,34,3,11,128,104,2016,8,2,1
4,96.0,27.082182,5.3,3,13,7,1,1,18,5,10,18,27,2007,6,9,0
4,113.0,79.456485,7.6,2,10,6,2,1,71,3,11,40,111,2014,5,27,1
4,135.0,44.640292,5.9,2,6,4,1,3,67,10,11,15,57,1995,7,28,1
4,118.0,32.852443,5.6,4,15,5,2,3,50,6,8,23,23,2009,8,4,1
4,94.0,128.655964,8.0,4,11,2,1,1,111,7,9,65,50,2015,6,9,1
4,106.0,94.199316,6.7,4,14,4,2,1,36,0,10,30,25,2016,4,7,1
4,124.0,77.300194,6.6,3,7,1,1,3,63,12,10,115,33,2010,4,28,1
4,127.0,77.178973,5.8,3,13,2,1,1,73,4,11,36,56,2012,5,30,1
4,97.0,110.620647,7.0,5,9,3,1,1,118,5,8,82,14,2014,5,28,1
4,130.0,243.791743,7.3,4,14,3,1,1,34,5,11,33,148,2014,6,26,1
4,109.0,2.418535,4.8,4,0,7,3,1,76,5,11,19,79,2015,2,13,0
4,119.0,41.796339,5.9,4,9,5,1,2,85,6,9,24,81,2013,12,6,0
4,136.0,72.225265,7.6,3,12,1,1,1,118,4,9,70,41,2014,3,20,1
4,93.0,44.041186,6.0,5,2,1,1,1,57,7,3,35,6,2010,5,16,1
4,130.0,130.311355,6.2,4,7,3,1,1,49,7,11,52,93,2015,5,19,1
4,102.0,203.73459,7.8,5,14,2,1,1,29,8,9,46,39,2014,10,24,1
4,108.0,62.341073,7.1,4,18,1,1,1,114,12,10,66,38,2012,11,1,1
4,100.0,47.323228,6.4,4,11,3,1,1,35,5,11,10,147,2004,11,10,1
4,120.0,48.775723,4.9,3,2,4,1,1,58,9,11,67,109,2016,6,22,1
4,98.0,67.263269,7.5,4,19,3,1,1,67,6,8,13,42,2010,3,5,1
4,109.0,69.405188,5.9,3,14,6,3,1,61,4,11,14,144,2003,7,2,1
13,120.0,9.476999,6.5,5,6,2,1,4,81,6,8,49,27,2016,7,29,1
4,169.0,108.849621,7.0,3,20,4,2,1,32,8,10,30,50,2012,11,26,1
4,106.0,6.909942,6.6,3,9,4,2,1,40,7,11,30,141,2001,6,22,1
4,166.0,60.269279,7.3,5,6,3,1,1,15,8,11,37,155,2008,11,24,1
4,132.0,3.195174,7.1,3,12,9,1,5,53,8,11,41,45,2011,5,24,1
4,137.0,127.284427,6.6,3,6,3,2,1,89,5,11,51,114,2015,11,18,1
4,109.0,35.580815,5.8,5,18,5,1,1,69,5,4,14,5,2010,7,13,1
4,99.0,21.133748,5.5,4,16,6,1,2,26,1,9,14,29,2006,5,12,1
4,113.0,56.268916,6.5,1,8,5,2,1,26,6,11,98,102,2016,5,25,1
4,93.0,42.986467,6.0,5,26,2,1,1,56,4,7,41,15,2007,5,17,1
4,123.0,63.148529,6.3,3,14,4,4,1,71,4,11,47,129,2016,5,25,1
4,126.0,202.042635,5.8,4,11,3,1,1,55,3,11,32,145,2015,6,23,1
4,113.0,49.661984,6.2,3,9,3,1,1,35,9,9,19,31,2010,8,13,1
4,183.0,34.20669,6.6,3,12,2,1,3,62,13,11,101,114,2001,5,21,1
4,144.0,25.468493,6.6,3,8,9,1,2,42,4,10,38,41,2007,6,27,1
4,175.0,39.019229,5.6,6,10,8,6,1,39,7,11,51,167,2004,11,21,1
4,138.0,78.144395,7.4,4,14,2,2,1,55,4,10,80,22,2007,6,28,1
4,157.0,101.250416,7.5,3,14,3,2,2,43,6,10,65,30,2005,11,5,1
4,92.0,56.758411,6.2,2,12,7,1,2,63,6,9,33,27,2008,7,1,1
4,101.0,70.867401,6.9,5,9,6,1,1,68,8,10,13,23,2007,12,14,1
4,115.0,53.905592,6.7,4,10,6,3,1,23,6,11,32,115,2005,7,13,1
4,111.0,65.677399,7.5,4,19,2,1,1,96,6,9,23,56,2007,6,22,1
4,140.0,115.040024,7.5,3,27,6,2,3,43,4,11,113,137,2005,6,10,1
4,89.0,44.141021,6.2,2,17,1,1,3,52,4,5,42,6,2008,10,30,1
4,105.0,81.781591,5.9,5,5,6,2,1,46,9,7,42,16,2009,5,20,1
4,107.0,5.954334,6.2,4,8,8,1,1,27,3,5,63,8,2009,4,28,1
4,129.0,73.313918,6.4,4,36,4,2,2,31,8,10,22,25,2003,11,5,1
4,102.0,165.125366,7.3,3,14,2,1,1,66,11,8,56,25,2013,11,27,1
4,138.0,70.78591,6.7,4,26,5,2,1,159,3,10,74,23,2003,5,15,1
4,112.0,99.499595,6.8,3,10,1,1,1,66,4,10,43,40,2013,10,29,1
